Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,ec19_actafec,ec19_dadinsu,ec19_dconmob,ec19_dtraterre,ec19_dofretrab,ec19_pveprfalt,ec19_pveprausc,ec19_accecred,ec19_recayamag,ec19_recayusgr,ec19_recayugc,ec19_recayugadm,ec19_recayugadp,ec19_recayuong,ec19_recayuotro,ec19_recayudesc
11075301140660002,11,7,53,1,14066,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
6016101045950002,6,1,61,1,4595,2,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13045002078310006,13,4,50,2,7831,6,0,,,,,,,,,,,,,,,
12085002092560005,12,8,50,2,9256,5,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13065703028160013,13,6,57,3,2816,13,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12085102119490005,12,8,51,2,11949,5,0,,,,,,,,,,,,,,,
17095004000060002,17,9,50,4,6,2,0,,,,,,,,,,,,,,,
5016201046820008,5,1,62,1,4682,8,0,,,,,,,,,,,,,,,
6015601062920031,6,1,56,1,6292,31,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9045002015190001,9,4,50,2,1519,1,0,,,,,,,,,,,,,,,
5045001184990006,5,4,50,1,18499,6,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11095003007840018,11,9,50,3,784,18,0,,,,,,,,,,,,,,,
18015701045890014,18,1,57,1,4589,14,0,,,,,,,,,,,,,,,
15035401038520001,15,3,54,1,3852,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12075202059360009,12,7,52,2,5936,9,0,,,,,,,,,,,,,,,
5016101064770004,5,1,61,1,6477,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
12125002055360002,12,12,50,2,5536,2,0,,,,,,,,,,,,,,,
11135003011040006,11,13,50,3,1104,6,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18075101056450009,18,7,51,1,5645,9,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
4045301065130006,4,4,53,1,6513,6,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6035001051450018,6,3,50,1,5145,18,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13145302189440006,13,14,53,2,18944,6,0,,,,,,,,,,,,,,,
