identificador,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,eq_ebmanual,eq_ebestaciona,eq_ecosgranfigr
1016101137400005,0,0,0.0,0.0,0,0,0,0.0
1016101137400006,0,0,0.0,0.0,0,0,0,0.0
1016101137400007,0,0,1.0,0.0,0,0,0,0.0
1016101139230001,0,0,0.0,0.0,0,0,0,0.0
1016101139230002,0,0,0.0,0.0,0,0,0,0.0
1016101139230003,0,0,1.0,0.0,0,0,0,0.0
1016101139230004,0,0,1.0,0.0,0,0,0,0.0
1016101139230005,0,0,0.0,0.0,0,0,0,0.0
1016101143210001,0,0,0.0,0.0,0,0,0,0.0
1016101143210002,0,0,0.0,0.0,0,0,0,0.0
1016101143210003,0,0,0.0,0.0,0,0,0,0.0
1016101143210004,0,0,0.0,0.0,0,0,0,0.0
1016101143210005,0,0,,0.0,0,1,0,0.0
1016101143210006,0,0,,0.0,0,0,0,0.0
1016101143210007,0,0,0.0,0.0,0,0,0,0.0
1016101143210008,0,0,0.0,0.0,0,0,0,0.0
1016101143210009,0,0,,0.0,0,0,0,0.0
1016101143210010,0,0,0.0,0.0,0,0,0,0.0
1016101143210011,0,0,,,0,0,0,
1016101143210012,0,0,0.0,0.0,0,0,0,0.0
1016101143210013,0,0,,0.0,0,0,0,0.0
1016101143210014,0,0,0.0,0.0,0,0,0,0.0
1016101145480001,0,0,,0.0,0,0,0,0.0
1016101145480002,0,0,0.0,0.0,0,0,0,0.0
1016101145480003,0,0,,0.0,0,0,0,0.0
1016101145480004,0,0,,0.0,0,0,0,0.0
1016101145480006,0,0,,0.0,0,0,0,0.0
1016101148430001,0,0,0.0,0.0,0,1,0,0.0
1016101149960001,0,0,0.0,0.0,0,0,0,0.0
1016101149960002,0,0,0.0,0.0,0,0,0,0.0
1016101149960003,0,0,,,0,0,0,
1016101149960004,0,0,,,0,0,0,
1016101155210001,0,0,,,0,0,0,
1016101155210002,0,0,,,0,0,0,
1016101155210003,0,0,,,0,0,0,
1016101155210005,0,0,,,0,0,0,
