Identificador,ual_parr,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,cg_k100,cg_k101,cg_k102,eu_k1301,cp_k409ha,cp_k411ha,cp_afecta_prod,cp_riego,cp_aferti,ventas,tratamiento_compra_insumos,tratamiento_ventas_transporte,tratamiento_ventas_demanda,cp_prod,cp_cantidad_npk_fq
12065104000030010,51,0.0,0.0,,,0.0,1,54,2,2,11.0,11.0,2.0,0,0,1.09090909090909,0.0,0.0,0.0,1.09090909090909,
12065102098940011,51,0.0,0.0,,,0.0,1,66,3,5,0.25,0.25,7.0,1,1,0.0909090909090909,0.0,0.0,0.0,0.0909090909090909,1.0
12065104000030018,51,0.0,0.0,,,0.0,1,55,1,3,7.0,7.0,5.0,0,0,4.77272727272727,0.0,0.0,0.0,4.77272727272727,
12075404000020002,54,0.0,0.0,,,0.0,1,65,2,5,5.98,,,0,1,,,,1.0,,200.0
12075404000020047,54,0.0,0.0,,,0.0,0,48,3,3,4.5,4.5,7.0,0,1,0.590909090909091,0.0,0.0,0.0,0.590909090909091,4.0
12075404000020015,54,0.0,0.0,,,1.0,1,75,1,3,1.5,1.5,6.0,0,0,0.7727272727272729,,1.0,,0.7727272727272729,
2075002001830005,50,0.0,0.0,,,0.0,1,60,1,1,2.0,2.0,7.0,0,1,2.7272727272727297,0.0,0.0,0.0,2.7272727272727297,100.0
15015302000700001,53,0.0,0.0,,,1.0,1,65,1,2,5.0,5.0,2.0,0,0,0.590909090909091,1.0,1.0,1.0,0.590909090909091,
9095002118680006,50,0.0,0.0,,,0.0,1,99,2,9,25.0,25.0,7.0,1,1,47.7272727272727,0.0,0.0,0.0,47.7272727272727,1250.0
9095002118680006,50,0.0,0.0,,,0.0,1,99,2,9,25.0,25.0,7.0,1,1,47.7272727272727,0.0,0.0,0.0,47.7272727272727,1250.0
12075404000020052,54,0.0,0.0,,,0.0,1,42,1,1,2.5,2.5,1.0,0,0,0.363636363636364,1.0,1.0,1.0,0.363636363636364,
12065104000030013,51,0.0,0.0,,,0.0,1,55,1,1,1.0,,,0,0,,0.0,0.0,0.0,,
12075404000020046,54,0.0,0.0,,,0.0,0,46,2,3,4.5,4.5,7.0,0,1,1.3636363636363602,0.0,0.0,0.0,1.3636363636363602,2.0
12075404000020016,54,0.0,0.0,,,0.0,0,55,1,6,1.5,,,0,0,,,1.0,,,
