Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,cp_numt,cp_numl,rc_clacul,cp_k404,cp_k405,cp_k406,cp_distancia_1,cp_distancia_2,cp_k408,cp_k409,cp_k409ha,cp_k410,cp_k410ha,cp_k411,cp_k411ha,cp_k412,cp_k416,cp_k417,cp_k418,cp_k420,cp_afecta_prod,cp_k422,cp_k423,cp_k424,cp_k426,cp_venmernac,cp_venmerint,cp_rdproven1,cp_rdproven2,cp_rdproven3,cp_rdproven4,cp_rdproven5,cp_rdproven6,cp_fconvf,cp_fconvs,cp_seg_agri,cp_kits_agri,cp_riego,cp_superf_regada,cp_superf_regada_ha,cp_porc_surc,cp_porc_aspe,cp_porc_micr,cp_porc_gote,cp_porc_nebu,cp_porc_otro,cp_aferti,cp_forg,cp_cant1_fo,cp_umed1_fo,cp_cant2_fo,cp_umed2_fo,cp_cant3_fo,cp_umed3_fo,cp_fqui,cp_cantidad_npk_fq,cp_umed_npk_fq,cp_cantidad_nit_fq,cp_umed_nit_fq,cp_cantidad_fq,cp_umed_fq,cp_cantidad_pot_fq,cp_umed_pot_fq,cp_afito,cp_porg,cp_cantidad_po,cp_umed_po,cp_pqui,cp_cantidad_her_pq,cp_umed_her_pq,cp_color_her_pq,cp_cantidad_ins_pq,cp_umed_ins_pq,cp_color_ins_pq,cp_cantidad_fun_pq,cp_umed_fun_pq,cp_color_fun_pq,cp_cantidad_pq,cp_umed_pq,cp_color_pq,cp_trabocacont,cp_trabfami,cp_obsotroscp,cp_nclavr,cp_trs,cp_trc,cp_tro,cp_tn,cp_prod,ventas,cp_superdida,superdida,cp_sequia,cp_helada,cp_plagas,cp_enfermedades,cp_inundacion,cp_otra,cp_edad,edad1,edad2,edad3,cp_vcomún,cp_vmejorada,cp_vhibrinacio,cp_vhibrinterna,cp_sriego,cp_sufertilizantes,cp_sufitosanitario,nuevacondicion,fact_exp_fin
1015702000720007,1,1,57,2,72,7,1,1,410,1,,13,3,9,2,7.5,7.5,7.5,7.5,7.5,7.5,,18,35,100,5,7,18,35,100,5,100,,,,,,,,,,2,2,2,,,,,,,,,1,2,,,,,,,1,20,2,,,,,,,2,2,,,2,,,,,,,,,,,,,1,,,411,1,,,4,.409090909090909,.409090909090909,0,,,,,,,,13,,7.5,,,7.5,,,,7.5,,1,1.61706621871673
1015702000720007,1,1,57,2,72,7,2,2,446,1,,6,2,3,1,2,2,2,2,2,2,,66,35,100,3,7,55,35,100,3,100,,11,,,,,,,,2,2,2,,,,,,,,,2,2,,,,,,,2,,,,,,,,,2,2,,,2,,,,,,,,,,,,,,,,446,1,,,4,3,2.5,0,,,,,,,,6,2,,,2,,,,,,,1,18.4231878766161
1015702000720008,1,1,57,2,72,8,1,1,410,1,,6,3,3,2,8.5,8.5,8.5,8.5,8.5,8.5,,19,35,100,5,7,19,35,100,5,100,,,,,,,,,,2,2,2,,,,,,,,,1,2,,,,,,,1,12,3,,,,,,,1,2,,,1,,,,,,,2,5,5,,,,,2,,411,1,,,4,.431818181818182,.431818181818182,0,,,,,,,,6,8.5,,,,8.5,,,,8.5,8.5,1,4.62733237862773
1015702000720009,1,1,57,2,72,9,1,1,410,1,,10,3,3,2,9,9,4.5,4.5,4.5,4.5,,13,35,100,5,7,13,35,100,5,100,,,,,,,,,,2,2,2,,,,,,,,,1,2,,,,,,,1,15,3,,,,,,,1,2,,,1,,,,,,,2,5,5,,,,1,,,411,1,,,4,.295454545454545,.295454545454545,0,,,,,,,,10,,9,,,9,,,,9,9,1,1.90152399326867
1015702000720010,1,1,57,2,72,10,1,1,410,1,,12,3,3,2,5,5,5,5,5,5,,14,35,100,5,5,14,35,100,5,100,,,,,,,,,,2,2,2,,,,,,,,,2,2,,,,,,,2,,,,,,,,,2,2,,,2,,,,,,,,,,,,,,1,,411,1,,,4,.318181818181818,.318181818181818,0,,,,,,,,12,,5,,,5,,,,,,1,.305761355482964
1015754000994062,1,1,57,54,99,4062,1,1,410,1,,20,3,3,2,7,7,7,7,7,7,,50,38,100,5,1,50,35,100,5,100,,,,,,,,,,2,2,1,7,7,100,,,,,,1,2,,,,,,,1,42,3,,,,,,,1,2,,,1,21,5,5,,,,42,5,5,,,,2,,,411,1,,,4,1.13636363636364,1.13636363636364,0,,,,,,,,20,,,7,,7,,,7,7,7,1,1
1015754000994070,1,1,57,54,99,4070,1,1,482,1,,30,3,3,1,25,25,25,25,25,25,,400,29,15,5,7,400,29,15,5,100,,,,,,,,,,2,2,1,25,25,,100,,,,,1,2,,,,,,,1,4,3,,,,,,,1,2,,,1,4,3,5,,,,,,,,,,1,,,411,1,,,4,1.36363636363636,1.36363636363636,0,,,,,,,,30,,,25,25,,,,25,25,25,1,1
1015754000994070,1,1,57,54,99,4070,2,2,410,1,,50,3,3,2,3,3,3,3,3,3,,50,29,15,5,7,50,29,15,5,100,,,,,,,,,,2,2,2,,,,,,,,,1,2,,,,,,,1,4,3,,,,,,,1,2,,,1,2,3,5,,,,,,,,,,1,,,411,1,,,4,.170454545454545,.170454545454545,0,,,,,,,,50,,,3,,3,,,,3,3,1,1
1015754000994106,1,1,57,54,99,4106,1,1,410,1,,10,3,3,2,2,2,2,2,2,2,,50,29,20,5,7,50,29,20,5,100,,,,,,,,,,2,2,2,,,,,,,,,2,2,,,,,,,2,,,,,,,,,1,2,,,1,2,5,4,,,,,,,,,,,,,411,1,,,4,.227272727272727,.227272727272727,0,,,,,,,,10,,2,,,2,,,,,2,1,1
1015754000994106,1,1,57,54,99,4106,2,2,410,1,,30,3,3,1,2,2,2,2,2,2,,40,29,24,5,7,40,29,24,5,100,,,,,,,,,,2,2,2,,,,,,,,,2,2,,,,,,,2,,,,,,,,,1,2,,,1,1,5,4,,,,,,,,,,,,,411,1,,,4,.218181818181818,.218181818181818,0,,,,,,,,30,,,2,2,,,,,,2,1,1
