Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,eu_superficie_ha,eu_k1301,eu_k1302,eu_k1303,eu_k1304,eu_k1305,eu_k1306,eu_k1307,eu_k1308,eu_k1309,eu_k1310,eu_k1311,eu_k1312,eu_trs,eu_trc,eu_tro,eu_tn,fact_exp_fin
1015801071650003,1,1,58,1,7165,3,2,2,1,1,2,1,1,,,,,,,1,,,4,30.6164152513903
1015801071650004,1,1,58,1,7165,4,.05,1,,1,1,,1,,,,,,,1,,,4,124.42273959799
1015801071650008,1,1,58,1,7165,8,.1,1,1,,1,1,,,,,,,,1,,,4,66.4394568291015
1015801071650010,1,1,58,1,7165,10,5,4,2,2,2,1,1,2,1,1,,,,1,,,4,30.5612685024161
1015801071650012,1,1,58,1,7165,12,1.52,2,1,1,2,1,1,,,,,,,1,,,4,65.6152685686595
1015801071650014,1,1,58,1,7165,14,.5,1,,1,1,,1,,,,,,,1,,,4,53.5630378394401
1015801071650015,1,1,58,1,7165,15,.05,1,,1,1,,1,,,,,,,1,,,4,129.513216168412
1015801071650017,1,1,58,1,7165,17,3,1,,1,1,,1,,,,,,,1,,,4,33.4311250284365
1015801071650018,1,1,58,1,7165,18,.24,1,,1,1,,1,,,,,,,1,,,4,33.6690759210321
1015801071650020,1,1,58,1,7165,20,.2,1,0,1,1,0,1,,,,,,,1,,,4,43.8382837154559
1015801077640001,1,1,58,1,7764,1,3.29,1,1,,1,1,,,,,,,,1,,,4,45.8794591566272
1015801077640002,1,1,58,1,7764,2,1.07,2,1,1,2,1,1,,,,,,,1,,,4,68.7353856006892
1015801077640004,1,1,58,1,7764,4,.61,1,,1,1,,1,,,,,,,1,,,4,83.9061761526215
1015801077640005,1,1,58,1,7764,5,.88,4,2,2,4,2,2,,,,,,,1,,,4,78.30808965469
1015801077640006,1,1,58,1,7764,6,12.02,2,1,1,2,1,1,,,,,,,1,,,4,13.6013357639547
1015801078400001,1,1,58,1,7840,1,7.39,2,1,1,2,1,1,,,,,,,1,,,4,58.4948067472553
1015801078400002,1,1,58,1,7840,2,2.28,2,1,1,2,1,1,,,,,,,1,,,4,28.2703527095392
1015801078400003,1,1,58,1,7840,3,12.02,2,1,1,2,1,1,,,,,,,1,,,4,8.35495879701974
1015864000991217,1,1,58,64,99,1217,.2,1,1,,1,1,,,,,,,,1,,,4,1
1015901037520003,1,1,59,1,3752,3,1.67,1,1,,1,1,,,,,,,,1,,,4,76.5044207662652
1015901037520004,1,1,59,1,3752,4,6.5,1,1,,1,1,,,,,,,,1,,,4,30.6598814471363
1015901037520005,1,1,59,1,3752,5,1,4,3,1,4,3,1,,,,,,,1,,,4,3.66802695747627
1015901037520006,1,1,59,1,3752,6,1,1,,1,1,,1,,,,,,,1,,,4,86.023764665629
1015901037520007,1,1,59,1,3752,7,2,2,,2,2,,2,,,,,,,1,,,4,41.2859029563495
1015901037520008,1,1,59,1,3752,8,1.41,1,,1,1,,1,,,,,,,1,,,4,1.15113597747712
1015901037980001,1,1,59,1,3798,1,2.5,3,2,1,3,2,1,,,,,,,1,,,4,35.7635885802543
1015901037980002,1,1,59,1,3798,2,1,1,1,,1,1,,,,,,,,1,,,4,53.7036190702104
1015901037980003,1,1,59,1,3798,3,1.39,2,1,1,2,1,1,,,,,,,1,,,4,37.3468326423484
1015901037980004,1,1,59,1,3798,4,1.55,3,1,2,3,1,2,,,,,,,1,,,4,60.0221422216988
1015901037980005,1,1,59,1,3798,5,.07,1,,1,1,,1,,,,,,,1,,,4,53.6945475746296
1015901037980006,1,1,59,1,3798,6,1.7,1,,1,1,,1,,,,,,,1,,,4,21.6839878338409
1015901037980007,1,1,59,1,3798,7,.4,1,,1,1,,1,,,,,,,1,,,4,104.804496548256
1015901037980008,1,1,59,1,3798,8,.43,2,1,1,1,,1,,,,1,1,,1,,,4,2.62705447960047
1015901037980009,1,1,59,1,3798,9,1.01,4,2,2,3,1,2,1,1,,,,,1,,,4,14.3497237642289
1015901037980010,1,1,59,1,3798,10,.35,1,,1,1,,1,,,,,,,1,,,4,87.3246534925838
1015901037980011,1,1,59,1,3798,11,.47,1,1,,1,1,,,,,,,,1,,,4,83.8157535463658
1015901037980012,1,1,59,1,3798,12,.8,2,2,,2,2,,,,,,,,1,,,4,32.9376878525549
1015901037980013,1,1,59,1,3798,13,1.15,1,1,,1,1,,,,,,,,1,,,4,44.5380346323078
1015901037980014,1,1,59,1,3798,14,1.5,2,,2,2,,2,,,,,,,1,,,4,27.4699166681
1015901037980015,1,1,59,1,3798,15,.24,2,1,1,2,1,1,,,,,,,1,,,4,36.0435552741455
1015901043600001,1,1,59,1,4360,1,2.7,1,1,,1,1,,,,,,,,1,,,4,23.6597405033414
1015901043600004,1,1,59,1,4360,4,1.44,2,,2,2,,2,,,,,,,1,,,4,76.2529718984844
1015901043600005,1,1,59,1,4360,5,1.9,2,1,1,2,1,1,,,,,,,1,,,4,61.7706293906089
1015901047250001,1,1,59,1,4725,1,.5,1,,1,1,,1,,,,,,,1,,,4,26.2186546480933
1015901047250002,1,1,59,1,4725,2,1.16,4,3,1,2,1,1,,,,2,2,,1,,,4,60.5983371282598
1015901047250003,1,1,59,1,4725,3,.33,2,1,1,2,1,1,,,,,,,1,,,4,57.5851071575332
1015901047250009,1,1,59,1,4725,9,4.71,3,2,1,2,1,1,1,1,,,,,1,,,4,29.7648429875342
1015901047250010,1,1,59,1,4725,10,2.33,2,1,1,2,1,1,,,,,,,1,,,4,92.6641968648741
1016001074860001,1,1,60,1,7486,1,.12,2,1,1,2,1,1,,,,,,,1,,,4,192.248738956144
1016001074860002,1,1,60,1,7486,2,.464,2,1,1,2,1,1,,,,,,,1,,,4,56.0906529534514
1016001074860003,1,1,60,1,7486,3,.04,1,1,,1,1,,,,,,,,1,,,4,68.5272571722316
1016001074860006,1,1,60,1,7486,6,.13,2,1,1,2,1,1,,,,,,,1,,,4,69.904687265082
