Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,cp_numt,cp_numl,rc_clacul,cp_k404,cp_k405,cp_k406,cp_distancia_1,cp_distancia_2,cp_k408,cp_k409,cp_k409ha,cp_k410,cp_k410ha,cp_k411,cp_k411ha,cp_k412,cp_k416,cp_k417,cp_k418,cp_k420,cp_afecta_prod,cp_k422,cp_k423,cp_k424,cp_k426,cp_venmernac,cp_venmerint,cp_rdproven1,cp_rdproven2,cp_rdproven3,cp_rdproven4,cp_rdproven5,cp_rdproven6,cp_fconvf,cp_fconvs,cp_seg_agri,cp_kits_agri,cp_riego,cp_superf_regada,cp_superf_regada_ha,cp_porc_surc,cp_porc_aspe,cp_porc_micr,cp_porc_gote,cp_porc_nebu,cp_porc_otro,cp_aferti,cp_forg,cp_cant1_fo,cp_umed1_fo,cp_cant2_fo,cp_umed2_fo,cp_cant3_fo,cp_umed3_fo,cp_fqui,cp_cantidad_npk_fq,cp_umed_npk_fq,cp_cantidad_nit_fq,cp_umed_nit_fq,cp_cantidad_fq,cp_umed_fq,cp_cantidad_pot_fq,cp_umed_pot_fq,cp_afito,cp_porg,cp_cantidad_po,cp_umed_po,cp_pqui,cp_cantidad_her_pq,cp_umed_her_pq,cp_color_her_pq,cp_cantidad_ins_pq,cp_umed_ins_pq,cp_color_ins_pq,cp_cantidad_fun_pq,cp_umed_fun_pq,cp_color_fun_pq,cp_cantidad_pq,cp_umed_pq,cp_color_pq,cp_trabocacont,cp_trabfami,cp_obsotroscp,cp_nclavr,cp_trs,cp_trc,cp_tro,cp_tn,cp_prod,ventas,cp_superdida,superdida,cp_sequia,cp_helada,cp_plagas,cp_enfermedades,cp_inundacion,cp_otra,cp_edad,edad1,edad2,edad3,cp_vcomún,cp_vmejorada,cp_vhibrinacio,cp_vhibrinterna,cp_sriego,cp_sufertilizantes,cp_sufitosanitario,nuevacondicion,fact_exp_fin
13145761000993171,13,14,57,61,99,3171,5,3,482,1,,6.0,4.0,4.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,,100.0,35.0,100.0,5.0,2.0,100.0,35.0,100.0,5.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,350.0,2.0,,,,,,,1,0.0,,,1.0,7.0,1.0,2.0,,,,,,,,,,,,,411,,2.0,,4,2.2727272727272703,2.2727272727272703,0.0,,,,,,,,6,7.0,,,7.0,,,,,7.0,7.0,1,1.0
13145761000993230,13,14,57,61,99,3230,1,1,482,1,,30.0,4.0,4.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0,,140.0,35.0,100.0,5.0,2.0,140.0,35.0,100.0,5.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,1,0.0,,,1.0,10.0,5.0,2.0,,,,,,,,,,5.0,5.0,,411,,2.0,,4,3.18181818181818,3.18181818181818,0.0,,,,,,,,30,,,20.0,20.0,,,,,,20.0,1,1.0
13145761000993230,13,14,57,61,99,3230,2,2,466,1,,0.0,3.0,3.0,1.0,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,3.5,3.5,100.0,,,,,,1,0,,,,,,,1,150.0,2.0,,,,,,,1,0.0,,,1.0,1.0,5.0,4.0,,,,,,,,,,,,,466,,2.0,,4,,,,,,,,,,,0,3.5,,,3.5,,,,3.5,3.5,3.5,1,1.0
13145761000993230,13,14,57,61,99,3230,3,3,446,1,,0.0,7.0,2.0,1.0,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1.5,1.5,100.0,,,,,,1,0,,,,,,,1,100.0,2.0,,,,,,,1,0.0,,,1.0,1.0,5.0,4.0,,,,,,,,,,,,,446,,2.0,,4,,,,,,,,,,,0,1.5,,,1.5,,,,1.5,1.5,1.5,1,1.0
13155002165630001,13,15,50,2,16563,1,2,1,466,1,,2.0,1.5,1.5,1.0,0.2,0.2,0.2,0.2,0.2,0.2,,100.0,36.0,30.0,3.0,1.0,0.0,,,,,,100.0,,,,,,,,0,1,0,,,,,,,,,1,0,,,,,,,1,100.0,2.0,100.0,2.0,,,,,1,0.0,,,1.0,0.5,5.0,4.0,0.5,5.0,4.0,,,,,,,,,,466,,2.0,,4,1.3636363636363602,0.0,0.0,,,,,,,,2,0.2,,,0.2,,,,,0.2,0.2,1,29.384678673602
13155002165630002,13,15,50,2,16563,2,1,1,466,1,,1.0,3.0,3.0,1.0,0.25,0.25,0.25,0.25,0.25,0.25,,120.0,36.0,30.0,3.0,1.0,,,,,,,120.0,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,0.0,,,466,,2.0,,4,1.6363636363636398,,0.0,,,,,,,,1,0.25,,,0.25,,,,,,,1,34.7510053169234
13155002180760003,13,15,50,2,18076,3,1,1,483,1,,6.0,3.0,2.0,3.0,0.5,0.5,0.5,0.5,0.5,0.5,,1.0,35.0,100.0,6.0,1.0,1.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,0.0454545454545455,0.0454545454545455,0.0,,,,,,,,6,0.5,,,,,0.5,,,,,1,79.3324288331632
13155002180760004,13,15,50,2,18076,4,2,1,483,1,,5.0,3.0,3.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,,18.0,35.0,100.0,6.0,1.0,18.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,200.0,2.0,200.0,2.0,,,,,1,0.0,,,1.0,,,,2.0,5.0,4.0,,,,,,,,,,411,,2.0,,4,0.818181818181818,0.818181818181818,0.0,,,,,,,,5,1.5,,,,1.5,,,,1.5,1.5,1,46.35939668693211
13155002180760004,13,15,50,2,18076,4,3,2,411,1,,2.0,3.0,3.0,2.0,0.25,0.25,0.25,0.25,0.25,0.25,,5.0,35.0,100.0,6.0,1.0,5.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,0.5,2.0,0.5,2.0,,,,,1,0.0,,,1.0,,,,2.0,5.0,4.0,,,,,,,,,,411,,2.0,,4,0.22727272727272702,0.22727272727272702,0.0,,,,,,,,2,0.25,,,,0.25,,,,0.25,0.25,1,428.280293508748
13155002180760005,13,15,50,2,18076,5,5,1,466,2,1.0,1.0,3.0,4.0,1.0,0.04,0.0282,0.04,0.0282,0.04,0.0282,,20.0,36.0,30.0,3.0,1.0,,,,,,,20.0,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,466,,2.0,,4,0.272727272727273,,0.0,,,,,,,,1,0.0282,,,0.0282,,,,,,,0,212.331401736118
