Identificador,ual_parr,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,cg_k100,cg_k101,cg_k102,eu_k1301,ct_k509,ct_k511ha,ct_afecta_prod,ct_riego,ct_aferti,Ventas,tratamiento_compra_insumos,tratamiento_ventas_transporte,tratamiento_ventas_demanda,ct_prod,ct_cantidad_npk_fq
11095801091810005,58,0.0,0.0,1.0,0.0,0.0,0,63,1,1,6.0,1.0,6.0,0,1,0.9090909090909092,0.0,0.0,0.0,0.9090909090909092,200.0
12065102098940010,51,0.0,0.0,1.0,0.0,0.0,1,72,2,4,30.0,7.75,2.0,0,1,32.18181818181821,0.0,0.0,0.0,32.18181818181821,20.0
12085002069590006,50,0.0,0.0,0.0,0.0,0.0,0,62,2,2,14.0,12.0,6.0,1,1,27.2727272727272,0.0,0.0,0.0,27.2727272727272,300.0
24015502001460001,55,0.0,0.0,,0.0,1.0,1,53,2,9,8.0,1.0,6.0,0,1,4.31818181818182,,1.0,1.0,4.31818181818182,300.0
9055104000400018,51,0.0,0.0,0.0,0.0,0.0,1,56,2,9,4.0,15.0,6.0,0,1,120.454545454545,,1.0,1.0,120.454545454545,180.0
13065704003250021,57,0.0,0.0,,1.0,0.0,1,35,2,24,7.0,10.0,2.0,0,1,59.0909090909091,0.0,0.0,0.0,59.0909090909091,0.0
22035302007530005,53,0.0,0.0,0.0,0.0,0.0,1,51,1,4,12.0,4.0,2.0,0,1,13.6363636363636,,1.0,1.0,13.6363636363636,12.0
13065704003250001,57,0.0,0.0,,0.0,0.0,1,65,1,7,6.0,1.4,6.0,0,1,6.36363636363636,1.0,1.0,1.0,6.36363636363636,0.0
12045202108780002,52,0.0,0.0,1.0,0.0,0.0,1,58,2,2,9.0,20.0,2.0,0,1,101.818181818182,,1.0,,101.818181818182,20.0
21015502026290011,55,1.0,0.0,1.0,0.0,1.0,1,42,2,7,20.0,30.0,6.0,0,1,181.8181818181818,1.0,1.0,1.0,181.8181818181818,36.0
11035301073280009,53,0.0,0.0,1.0,0.0,0.0,1,70,5,2,6.0,1.0,6.0,0,1,2.2727272727272703,0.0,0.0,0.0,2.2727272727272703,8.0
24015503001310003,55,0.0,0.0,,0.0,0.0,1,40,2,2,8.0,6.0,2.0,0,1,29.5454545454545,0.0,0.0,0.0,30.0,400.0
11145201116660002,52,0.0,0.0,,0.0,0.0,1,87,7,25,9.0,5.5,2.0,0,1,36.363636363636395,,1.0,1.0,36.363636363636395,0.0
13145002155660003,50,0.0,0.0,,0.0,0.0,1,68,1,26,7.0,3.0,1.0,0,1,11.3636363636364,,1.0,1.0,11.3636363636364,250.0
13135502222170003,55,0.0,0.0,,0.0,0.0,1,55,1,2,12.0,3.0,1.0,0,1,9.09090909090909,,,1.0,9.09090909090909,750.0
13155002173160001,50,0.0,0.0,,0.0,0.0,1,60,1,11,6.0,6.0,1.0,0,1,10.4545454545455,,1.0,1.0,11.3636363636364,2400.0
13155002188100009,50,0.0,0.0,,0.0,0.0,1,30,1,2,4.0,4.0,6.0,0,1,2.7272727272727297,,1.0,,2.7272727272727297,150.0
13105302254570006,53,0.0,0.0,,0.0,0.0,1,63,1,3,5.0,2.0,1.0,0,1,13.3636363636364,0.0,0.0,0.0,13.5,0.0
12085002081770007,50,0.0,0.0,0.0,0.0,0.0,1,54,2,3,16.0,4.0,6.0,1,1,23.18181818181823,1.0,1.0,1.0,23.18181818181823,400.0
11145101113700005,51,0.0,0.0,,0.0,0.0,1,54,1,23,8.0,5.0,6.0,1,1,21.3636363636364,0.0,0.0,0.0,22.7272727272727,0.0
13115002203160007,50,0.0,0.0,,0.0,0.0,1,47,7,2,5.0,1.75,6.0,0,1,4.5454545454545485,1.0,1.0,1.0,5.454545454545452,0.0
12045002089430002,50,0.0,0.0,1.0,0.0,1.0,1,90,1,5,5.0,8.4672,6.0,0,1,43.63636363636361,0.0,0.0,0.0,43.63636363636361,1600.0
12085002085740006,50,0.0,0.0,,0.0,0.0,1,67,7,3,6.0,1.5,6.0,0,1,3.18181818181818,,1.0,1.0,3.18181818181818,150.0
6105002000430001,50,0.0,0.0,0.0,0.0,0.0,1,82,1,3,10.0,0.35,6.0,1,1,0.36363636363636404,,1.0,1.0,0.36363636363636404,5.0
13155002188100002,50,0.0,0.0,,0.0,0.0,1,67,1,3,6.0,4.0,1.0,0,1,18.181818181818198,,1.0,,18.181818181818198,200.0
9045002032470008,50,0.0,0.0,,0.0,0.0,0,49,7,2,12.0,2.5,1.0,1,1,1.72727272727273,0.0,0.0,0.0,1.8181818181818201,0.0
9045002025570001,50,0.0,0.0,,0.0,0.0,1,54,3,19,7.0,10.0,6.0,0,1,54.545454545454504,0.0,0.0,0.0,54.545454545454504,300.0
12085002092560004,50,0.0,0.0,,0.0,0.0,1,62,1,6,6.0,2.0,1.0,0,1,5.454545454545452,,1.0,1.0,5.59090909090909,150.0
12015302141980003,53,0.0,0.0,,0.0,0.0,1,60,1,1,6.0,0.7056,2.0,0,1,5.454545454545452,0.0,0.0,0.0,5.454545454545452,100.0
