Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,cp_numt,cp_numl,rc_clacul,cp_k404,cp_k405,cp_k406,cp_distancia_1,cp_distancia_2,cp_k408,cp_k409,cp_k409ha,cp_k410,cp_k410ha,cp_k411,cp_k411ha,cp_k412,cp_k416,cp_k417,cp_k418,cp_k420,cp_afecta_prod,cp_k422,cp_k423,cp_k424,cp_k426,cp_venmernac,cp_venmerint,cp_rdproven1,cp_rdproven2,cp_rdproven3,cp_rdproven4,cp_rdproven5,cp_rdproven6,cp_fconvf,cp_fconvs,cp_seg_agri,cp_kits_agri,cp_riego,cp_superf_regada,cp_superf_regada_ha,cp_porc_surc,cp_porc_aspe,cp_porc_micr,cp_porc_gote,cp_porc_nebu,cp_porc_otro,cp_aferti,cp_forg,cp_cant1_fo,cp_umed1_fo,cp_cant2_fo,cp_umed2_fo,cp_cant3_fo,cp_umed3_fo,cp_fqui,cp_cantidad_npk_fq,cp_umed_npk_fq,cp_cantidad_nit_fq,cp_umed_nit_fq,cp_cantidad_fq,cp_umed_fq,cp_cantidad_pot_fq,cp_umed_pot_fq,cp_afito,cp_porg,cp_cantidad_po,cp_umed_po,cp_pqui,cp_cantidad_her_pq,cp_umed_her_pq,cp_color_her_pq,cp_cantidad_ins_pq,cp_umed_ins_pq,cp_color_ins_pq,cp_cantidad_fun_pq,cp_umed_fun_pq,cp_color_fun_pq,cp_cantidad_pq,cp_umed_pq,cp_color_pq,cp_trabocacont,cp_trabfami,cp_obsotroscp,cp_nclavr,cp_trs,cp_trc,cp_tro,cp_tn,cp_prod,ventas,cp_superdida,superdida,cp_sequia,cp_helada,cp_plagas,cp_enfermedades,cp_inundacion,cp_otra,cp_edad,edad1,edad2,edad3,cp_vcomún,cp_vmejorada,cp_vhibrinacio,cp_vhibrinterna,cp_sriego,cp_sufertilizantes,cp_sufitosanitario,nuevacondicion,fact_exp_fin
13045302156850005,13,4,53,2,15685,5,1,1,411,1,,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,25.0,35.0,100.0,6.0,2.0,25.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,400.0,2.0,,,,,,,1,0.0,,,1.0,,,,4.0,5.0,3.0,,,,,,,,,,411,,2.0,,4,1.1363636363636398,1.1363636363636398,0.0,,,,,,,,4,2.0,,,,2.0,,,,2.0,2.0,1,72.643265728504
13045302156850006,13,4,53,2,15685,6,1,1,411,1,,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,24.0,35.0,100.0,6.0,2.0,24.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,400.0,2.0,,,,,,,1,0.0,,,1.0,,,,3.0,5.0,3.0,,,,,,,,,,411,,2.0,,4,1.09090909090909,1.09090909090909,0.0,,,,,,,,4,1.0,,,,1.0,,,,1.0,1.0,1,61.9218628384206
13045302156850007,13,4,53,2,15685,7,1,1,411,1,,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,28.0,35.0,100.0,6.0,2.0,28.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,400.0,2.0,,,,,,,1,0.0,,,1.0,,,,2.0,5.0,3.0,,,,,,,,,,411,,2.0,,4,1.27272727272727,1.27272727272727,0.0,,,,,,,,4,1.0,,,,1.0,,,,1.0,1.0,1,92.88912259507973
13045302156850008,13,4,53,2,15685,8,2,2,411,1,,4.0,3.0,3.0,2.0,2.98,2.98,2.98,2.98,2.98,2.98,,60.0,35.0,100.0,6.0,2.0,60.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,300.0,2.0,,,,,,,1,0.0,,,1.0,,,,3.0,5.0,3.0,,,,,,,,,,411,,2.0,,4,2.7272727272727297,2.7272727272727297,0.0,,,,,,,,4,2.98,,,,2.98,,,,2.98,2.98,1,48.0027346658964
13045302156850009,13,4,53,2,15685,9,1,1,411,1,,8.0,4.0,4.0,2.0,15.0,15.0,15.0,15.0,15.0,15.0,,54.0,35.0,100.0,6.0,7.0,54.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,1,,,4.0,3.0,,,1,100.0,2.0,,,,,,,1,0.0,,,1.0,,,,5.0,5.0,4.0,,,,,,,4.0,,,411,,2.0,,4,2.45454545454545,2.45454545454545,0.0,,,,,,,,8,15.0,,,,15.0,,,,15.0,15.0,1,11.574266169135498
13045302169440001,13,4,53,2,16944,1,1,1,411,1,,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,,6.0,35.0,100.0,6.0,7.0,6.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,3.0,2.0,,,,,,,1,0.0,,,1.0,,,,0.5,5.0,3.0,,,,,,,3.0,,,411,,2.0,,4,0.272727272727273,0.272727272727273,0.0,,,,,,,,3,3.0,,,,3.0,,,,3.0,3.0,1,54.0632324901828
13045302169440002,13,4,53,2,16944,2,1,1,411,1,,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,35.0,100.0,6.0,7.0,5.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,50.0,2.0,,,,,,,1,0.0,,,1.0,,,,0.5,5.0,2.0,,,,,,,3.0,,,411,,2.0,,4,0.22727272727272704,0.22727272727272704,0.0,,,,,,,,2,1.0,,,,1.0,,,,1.0,1.0,1,43.2462872099762
13045302169440002,13,4,53,2,16944,2,2,2,411,1,,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,10.0,35.0,100.0,6.0,7.0,10.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,100.0,2.0,,,,,,,1,0.0,,,1.0,,,,0.5,5.0,2.0,,,,,,,3.0,,,411,,2.0,,4,0.454545454545455,0.454545454545455,0.0,,,,,,,,2,2.0,,,,2.0,,,,2.0,2.0,1,10.278188108634
13045302169440003,13,4,53,2,16944,3,2,2,411,1,,8.0,3.0,3.0,2.0,0.99,0.99,0.99,0.99,0.99,0.99,,8.0,35.0,100.0,6.0,7.0,8.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,2.0,,,411,,2.0,,4,0.363636363636364,0.363636363636364,0.0,,,,,,,,8,0.99,,,,0.99,,,,,,1,88.326542052097
13045302169440004,13,4,53,2,16944,4,2,2,411,1,,10.0,3.0,3.0,2.0,0.48,0.48,0.48,0.48,0.48,0.48,,4.0,35.0,100.0,6.0,7.0,4.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,0.181818181818182,0.181818181818182,0.0,,,,,,,,10,,0.48,,,0.48,,,,,,1,73.7455801777447
13045302169440005,13,4,53,2,16944,5,1,1,411,1,,5.0,3.5,3.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,30.0,35.0,100.0,6.0,7.0,30.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,2.0,,,411,,2.0,,4,1.3636363636363602,1.3636363636363602,0.0,,,,,,,,5,2.0,,,,2.0,,,,,,1,75.2879908236364
13045302169440005,13,4,53,2,16944,5,2,2,411,2,1.0,5.0,3.5,3.5,2.0,0.75,0.75,0.75,0.75,0.75,0.75,,10.0,35.0,100.0,6.0,7.0,10.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,0.454545454545455,0.454545454545455,0.0,,,,,,,,5,0.75,,,,0.75,,,,,,0,101.03130722349
13045302169440005,13,4,53,2,16944,5,3,4,411,1,,5.0,3.5,3.5,2.0,0.24,0.24,0.24,0.24,0.24,0.24,,2.0,35.0,100.0,6.0,7.0,2.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,0.0909090909090909,0.0909090909090909,0.0,,,,,,,,5,0.24,,,,0.24,,,,,,1,35.6278967652054
13045302169440006,13,4,53,2,16944,6,1,1,411,1,,10.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,40.0,35.0,100.0,6.0,2.0,40.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,1,,,,,60.0,1.0,1,600.0,5.0,,,,,,,1,0.0,,,1.0,,,,2.5,5.0,2.0,,,,,,,2.0,,,411,,2.0,,4,1.81818181818182,1.81818181818182,0.0,,,,,,,,10,,2.0,,,2.0,,,,2.0,2.0,1,50.122572355112105
