Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,ec19_actafec,ec19_dadinsu,ec19_dconmob,ec19_dtraterre,ec19_dofretrab,ec19_pveprfalt,ec19_pveprausc,ec19_accecred,ec19_recayamag,ec19_recayusgr,ec19_recayugc,ec19_recayugadm,ec19_recayugadp,ec19_recayuong,ec19_recayuotro,ec19_recayudesc,tratamiento_compra_insumos,tratamiento_ventas_transporte,tratamiento_ventas_demanda,eu_superficie_ha,eu_k1301,eu_k1302,eu_k1303,eu_k1304,eu_k1305,eu_k1306,eu_k1307,eu_k1308,eu_k1309,eu_k1310,eu_k1311,eu_k1312,eu_trs,eu_trc,eu_tro,eu_tn,fact_exp_fin_principales,cg_vive_predio_pr,cg_terredensm,cg_dista_pre_viv,cg_k100,cg_k101,cg_se_define,cg_k102,cg_segsoccam,cg_accesocomp,cg_accesointer,cg_superficie,cg_unidadmedida,grupo1,edad_rango,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,eq_ebmanual,eq_ebestaciona,eq_ecosgranfigr,cp_numt,cp_numl,rc_clacul,cp_k404,cp_k405,cp_k406,cp_distancia_1,cp_distancia_2,cp_k408,cp_k409,cp_k409ha,cp_k410,cp_k410ha,cp_k411,cp_k411ha,cp_k412,cp_k416,cp_k417,cp_k418,cp_k420,cp_afecta_prod,cp_k422,cp_k423,cp_k424,cp_k426,cp_venmernac,cp_venmerint,cp_rdproven1,cp_rdproven2,cp_rdproven3,cp_rdproven4,cp_rdproven5,cp_rdproven6,cp_fconvf,cp_fconvs,cp_seg_agri,cp_kits_agri,cp_riego,cp_superf_regada,cp_superf_regada_ha,cp_porc_surc,cp_porc_aspe,cp_porc_micr,cp_porc_gote,cp_porc_nebu,cp_porc_otro,cp_aferti,cp_forg,cp_cant1_fo,cp_umed1_fo,cp_cant2_fo,cp_umed2_fo,cp_cant3_fo,cp_umed3_fo,cp_fqui,cp_cantidad_npk_fq,cp_umed_npk_fq,cp_cantidad_nit_fq,cp_umed_nit_fq,cp_cantidad_fq,cp_umed_fq,cp_cantidad_pot_fq,cp_umed_pot_fq,cp_afito,cp_porg,cp_cantidad_po,cp_umed_po,cp_pqui,cp_cantidad_her_pq,cp_umed_her_pq,cp_color_her_pq,cp_cantidad_ins_pq,cp_umed_ins_pq,cp_color_ins_pq,cp_cantidad_fun_pq,cp_umed_fun_pq,cp_color_fun_pq,cp_cantidad_pq,cp_umed_pq,cp_color_pq,cp_trabocacont,cp_trabfami,cp_obsotroscp,cp_nclavr,cp_trs,cp_trc,cp_tro,cp_tn,cp_prod,ventas,cp_superdida,superdida,cp_sequia,cp_helada,cp_plagas,cp_enfermedades,cp_inundacion,cp_otra,cp_edad,edad1,edad2,edad3,cp_vcomún,cp_vmejorada,cp_vhibrinacio,cp_vhibrinterna,cp_sriego,cp_sufertilizantes,cp_sufitosanitario,nuevacondicion,fact_exp_fin_cultivo
12025061000992484,12,2,50,61,99,2484,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,405.0,33,33.0,,1.0,1.0,,12.0,12.0,,20.0,20.0,,,2.0,,4,1.0,1,1.0,,1,46,4,3,0,0,0,405.0,1,10,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4,2,411,2,1.0,3.0,2.0,2.0,2.0,40.0,40.0,30.0,30.0,30.0,30.0,,360.0,35.0,100.0,6.0,7.0,360.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,1,40.0,40.0,,,,100.0,,,1,0,,,,,,,1,90.0,2.0,90.0,2.0,,,,,1,0.0,,,1.0,40.0,5.0,2.0,,,,,,,,,,,,,411,,2.0,,4,16.363636363636402,16.363636363636402,0.0,,,,,,,,3,40.0,,,,40.0,,,40.0,40.0,40.0,0,1.0
12035057000992251,12,3,50,57,99,2251,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,247.0,9,9.0,,1.0,1.0,,8.0,8.0,,,,,,2.0,,4,1.0,1,1.0,,1,65,5,2,0,0,1,247.0,1,10,4,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2,1,411,1,,8.0,3.0,3.0,2.0,45.0,45.0,45.0,45.0,45.0,45.0,,1800.0,35.0,100.0,6.0,7.0,1800.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,1,45.0,45.0,,,100.0,,,,1,0,,,,,,,1,135.0,2.0,135.0,2.0,,,,,1,0.0,,,1.0,45.0,5.0,3.0,,,,,,,,,,,,,411,,2.0,,4,81.8181818181818,81.8181818181818,0.0,,,,,,,,8,45.0,,,,45.0,,,45.0,45.0,45.0,1,1.0
12035064000991047,12,3,50,64,99,1047,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,20.0,10,9.0,1.0,4.0,3.0,1.0,6.0,6.0,,,,,,2.0,,4,1.0,1,1.0,,1,31,5,3,0,0,0,20.0,1,7,2,0.0,0.0,,,0.0,1.0,0.0,,2,1,411,1,,10.0,3.0,3.0,2.0,18.0,18.0,18.0,18.0,18.0,18.0,,360.0,35.0,100.0,6.0,7.0,360.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,162.0,2.0,54.0,2.0,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,16.363636363636402,16.363636363636402,0.0,,,,,,,,10,,18.0,,,18.0,,,,18.0,,1,1.0
12045262000990450,12,4,52,62,99,450,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,4.0,5,4.0,1.0,5.0,4.0,1.0,,,,,,,,2.0,,4,1.0,1,1.0,,1,43,4,3,0,0,0,4.0,1,4,3,0.0,0.0,,,0.0,1.0,0.0,,2,1,411,1,,15.0,3.0,3.0,2.0,3.5,3.5,3.5,3.5,3.5,3.5,,105.0,35.0,100.0,6.0,7.0,105.0,35.0,100.0,6.0,0.0,100.0,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,3.0,,411,,2.0,,4,4.77272727272727,4.77272727272727,0.0,,,,,,,,15,,3.5,,,3.5,,,,,,1,1.0
12055062000990434,12,5,50,62,99,434,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.5,4,4.0,,1.0,1.0,,,,,3.0,3.0,,,2.0,,4,1.0,1,1.0,,1,75,3,2,0,1,1,1.5,1,2,4,0.0,0.0,,,0.0,1.0,1.0,,1,1,411,1,,14.0,3.0,3.0,2.0,1.49,1.49,1.49,1.49,1.49,1.49,,36.0,35.0,100.0,6.0,7.0,36.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,1,0.5,0.5,,100.0,,,,,1,0,,,,,,,1,3.0,3.0,,,,,,,1,0.0,,,1.0,,,,2.0,5.0,3.0,,,,,,,3.0,,,411,,2.0,,4,1.6363636363636398,1.6363636363636398,0.0,,,,,,,,14,,1.49,,,1.49,,,1.49,1.49,1.49,1,1.0
12055062000990453,12,5,50,62,99,453,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,8.0,3,3.0,,1.0,1.0,,2.0,2.0,,,,,,2.0,,4,1.0,0,,99.0,1,50,3,2,0,1,1,8.0,1,5,3,0.0,0.0,,,1.0,1.0,1.0,,1,1,411,1,,15.0,3.0,3.0,2.0,7.99,7.99,7.99,7.99,7.99,7.99,,360.0,35.0,100.0,6.0,7.0,360.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,1,5.0,5.0,,100.0,,,,,1,0,,,,,,,1,24.0,3.0,,,,,,,1,0.0,,,1.0,,,,8.0,5.0,5.0,,,,,,,2.0,,,411,,2.0,,4,16.363636363636402,16.363636363636402,0.0,,,,,,,,15,,7.99,,,7.99,,,7.99,7.99,7.99,1,1.0
12055359000990579,12,5,53,59,99,579,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,13.0,1,1.0,,1.0,1.0,,,,,,,,,2.0,,4,1.0,0,,4.0,1,44,4,3,0,1,1,13.0,1,6,3,0.0,0.0,,,0.0,1.0,1.0,,1,1,411,1,,6.0,3.0,3.0,2.0,13.0,13.0,13.0,13.0,13.0,13.0,,195.0,35.0,100.0,6.0,2.0,195.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,1,13.0,13.0,,100.0,,,,,1,0,,,,,,,1,1950.0,2.0,,,,,,,1,0.0,,,1.0,,,,13.0,5.0,3.0,,,,,,,2.0,,,411,,2.0,,4,8.86363636363636,8.86363636363636,0.0,,,,,,,,6,13.0,,,,13.0,,,13.0,13.0,13.0,1,1.0
12055360000990094,12,5,53,60,99,94,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,75.0,9,9.0,,1.0,1.0,,8.0,8.0,,,,,,2.0,,4,1.0,0,,99.0,1,65,4,3,0,1,1,75.0,1,8,4,0.0,0.0,,,0.0,1.0,0.0,,3,3,411,1,,7.0,3.0,3.0,2.0,3.99,3.99,3.99,3.99,3.99,3.99,,120.0,35.0,100.0,6.0,7.0,120.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,,,,,,,12.0,2.0,1,0.0,,,1.0,2.0,5.0,2.0,,,,,,,,,,,,,411,,2.0,,4,5.454545454545452,5.454545454545452,0.0,,,,,,,,7,3.99,,,,3.99,,,,3.99,3.99,1,1.0
12055364000991036,12,5,53,64,99,1036,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,6.0,2,2.0,,1.0,1.0,,1.0,1.0,,,,,,2.0,,4,1.0,0,,99.0,1,75,4,2,0,1,1,6.0,1,5,4,0.0,0.0,,,0.0,1.0,0.0,,1,1,411,1,,3.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,,150.0,35.0,100.0,6.0,7.0,150.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,1500.0,2.0,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,6.81818181818182,6.81818181818182,0.0,,,,,,,,3,5.0,,,5.0,,,,,5.0,,1,1.0
12055364000991038,12,5,53,64,99,1038,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,6.0,1,1.0,,1.0,1.0,,,,,,,,,2.0,,4,1.0,0,,99.0,1,75,4,2,0,1,1,6.0,1,5,4,0.0,0.0,,,0.0,1.0,0.0,,2,2,411,1,,5.0,2.5,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,30.0,35.0,100.0,6.0,7.0,30.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,200.0,2.0,,,,,,,1,0.0,,,1.0,,,,1.0,1.0,3.0,,,,,,,,,,411,,2.0,,4,1.3636363636363602,1.3636363636363602,0.0,,,,,,,,5,1.0,,,1.0,,,,,1.0,1.0,1,1.0
12065159000990589,12,6,51,59,99,589,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,6.0,7,4.0,3.0,5.0,2.0,3.0,,,,2.0,2.0,,,2.0,,4,1.0,1,1.0,,1,65,4,3,0,1,1,6.0,1,5,4,0.0,0.0,,,0.0,1.0,0.0,,2,1,411,2,1.0,8.0,4.0,4.0,2.0,5.5,5.5,5.5,5.5,5.5,5.5,,110.0,35.0,100.0,6.0,7.0,110.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,1,5.5,5.5,,100.0,,,,,1,0,,,,,,,1,11.0,2.0,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,5.0,5.0,0.0,,,,,,,,8,5.5,,,,5.5,,,5.5,5.5,,0,1.0
12095057000992271,12,9,50,57,99,2271,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,45.0,7,7.0,,1.0,1.0,,,,,6.0,6.0,,,2.0,,4,1.0,1,1.0,,1,62,4,3,0,0,1,45.0,1,7,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,411,1,,10.0,3.0,3.0,2.0,9.99,9.99,9.99,9.99,9.99,9.99,,250.0,35.0,100.0,6.0,7.0,250.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,1,9.99,9.99,,100.0,,,,,1,0,,,,,,,1,,,1000.0,2.0,,,,,1,0.0,,,1.0,10.0,5.0,3.0,2.0,1.0,2.0,3.0,5.0,5.0,,,,4.0,,,411,,2.0,,4,11.3636363636364,11.3636363636364,0.0,,,,,,,,10,,9.99,,,9.99,,,9.99,9.99,9.99,1,1.0
12095061000992510,12,9,50,61,99,2510,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1400.0,88,88.0,,1.0,1.0,,87.0,87.0,,,,,,2.0,,4,1.0,0,,99.0,1,46,4,3,0,1,1,1400.0,1,10,3,1.0,1.0,,,0.0,1.0,1.0,,2,2,411,1,,22.0,3.0,3.0,2.0,149.0,149.0,149.0,149.0,149.0,149.0,,4400.0,35.0,100.0,6.0,7.0,4400.0,35.0,100.0,6.0,100.0,,,,,,,,,,1,0,1,149.0,149.0,,100.0,,,,,1,0,,,,,,,1,,,48000.0,2.0,,,,,1,0.0,,,1.0,,,,,,,75.0,5.0,2.0,,,,18.0,,,411,,2.0,,4,200.0,200.0,0.0,,,,,,,,22,,,149.0,,149.0,,,149.0,149.0,149.0,1,1.0
12105057000992273,12,10,50,57,99,2273,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,110.0,25,25.0,,1.0,1.0,,4.0,4.0,,20.0,20.0,,,2.0,,4,1.0,1,1.0,,1,80,4,1,0,1,1,110.0,1,9,4,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1,411,1,,10.0,3.0,3.0,2.0,29.99,29.99,29.99,29.99,29.99,29.99,,900.0,35.0,100.0,6.0,7.0,900.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,9000.0,2.0,,,,,,,1,0.0,,,1.0,180.0,5.0,3.0,60.0,5.0,3.0,90.0,5.0,5.0,,,,20.0,,,411,,2.0,,4,40.9090909090909,40.9090909090909,0.0,,,,,,,,10,,29.99,,,29.99,,,,29.99,29.99,1,1.0
12105060000990090,12,10,50,60,99,90,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,160.0,8,8.0,,1.0,1.0,,4.0,4.0,,3.0,3.0,,,2.0,,4,1.0,1,1.0,,1,64,4,3,0,1,1,160.0,1,9,4,0.0,0.0,,,0.0,1.0,0.0,,4,2,411,1,,4.0,4.0,4.0,3.0,25.0,25.0,25.0,25.0,25.0,25.0,,100.0,35.0,100.0,6.0,5.0,100.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,250.0,2.0,,,,,,,1,0.0,,,1.0,12.5,5.0,4.0,,,,,,,,,,,,,411,,2.0,,4,4.5454545454545485,4.5454545454545485,0.0,,,,,,,,4,25.0,,,,,25.0,,,25.0,25.0,1,1.0
